,relationship,first_name,second_name,co_bills,co_bills_status,co_bills_total
16024,Susan McComasTrent Kittleman,Susan McComas,Trent Kittleman,"[1073134, 1077082, 1081592, 1100022]","[2, 1, 1, 1]",4
12103,April RoseJohnny Mautz,April Rose,Johnny Mautz,"[1078958, 1081669, 1085082, 1085075]","[1, 4, 1, 1]",4
22490,Carolyn HowardMarice Morales,Carolyn Howard,Marice Morales,"[1071279, 1071308, 1071274, 1085115]","[2, 1, 1, 1]",4
12124,Johnny MautzSusan McComas,Johnny Mautz,Susan McComas,"[1036198, 1078958, 1081669, 1081741]","[4, 1, 4, 3]",4
16270,Deb ReyPaul Corderman,Deb Rey,Paul Corderman,"[1073035, 1081736, 1085068, 1085048]","[4, 1, 1, 1]",4
16268,Kathy SzeligaPaul Corderman,Kathy Szeliga,Paul Corderman,"[1075244, 1085167, 1084894, 1084883]","[1, 1, 1, 1]",4
7851,Marc KormanPat Young,Marc Korman,Pat Young,"[1083054, 1083062, 1083116, 1084053]","[4, 1, 1, 4]",4
17723,Ulysses CurrieWilliam Ferguson,Ulysses Currie,William Ferguson,"[1069908, 1073113, 1078946, 1080767]","[4, 2, 4, 4]",4
12181,Shirley Nathan-PulliamWilliam Smith,Shirley Nathan-Pulliam,William Smith,"[1069802, 1073051, 1081819, 1081716]","[4, 1, 4, 2]",4
7804,Bob FlanaganCharles Otto,Bob Flanagan,Charles Otto,"[1085293, 1085042, 1085176, 1094129]","[2, 2, 2, 1]",4
12123,Johnny MautzMichael Malone,Johnny Mautz,Michael Malone,"[1078958, 1081669, 1083061, 1081741]","[1, 4, 1, 3]",4
22358,Richard ImpallariaTeresa Reilly,Richard Impallaria,Teresa Reilly,"[1073963, 1073961, 1077011, 1077150]","[4, 1, 1, 4]",4
16163,Bob LongJason Buckel,Bob Long,Jason Buckel,"[1083027, 1084058, 1085096, 1085291]","[4, 1, 1, 1]",4
7838,Marc KormanSheila Hixson,Marc Korman,Sheila Hixson,"[1066868, 1069918, 1069843, 1085051]","[4, 4, 4, 2]",4
22373,Neil ParrottTeresa Reilly,Neil Parrott,Teresa Reilly,"[1073963, 1073961, 1080866, 1084871]","[4, 1, 1, 1]",4
25076,Darryl BarnesEric Ebersole,Darryl Barnes,Eric Ebersole,"[1061057, 1081686, 1083132, 1084931]","[1, 1, 1, 1]",4
25077,Carlos SanchezEric Ebersole,Carlos Sanchez,Eric Ebersole,"[1081686, 1083132, 1084863, 1085185]","[1, 1, 2, 1]",4
7885,Charles BarkleyMarc Korman,Charles Barkley,Marc Korman,"[1062548, 1069918, 1069843, 1081701]","[4, 4, 4, 1]",4
19227,Karen YoungPamela Queen,Karen Young,Pamela Queen,"[1072333, 1073946, 1077102, 1078959]","[2, 2, 4, 1]",4
12145,Douglas PetersShirley Nathan-Pulliam,Douglas Peters,Shirley Nathan-Pulliam,"[1069802, 1081802, 1095747, 1102197]","[4, 2, 4, 2]",4
7747,Charles OttoMark Fisher,Charles Otto,Mark Fisher,"[1069901, 1069906, 1077080, 1084081]","[1, 1, 1, 1]",4
22463,Clarence LamMarice Morales,Clarence Lam,Marice Morales,"[1036225, 1081810, 1085092, 1085090]","[4, 1, 1, 4]",4
19223,Jeff WaldstreicherKaren Young,Jeff Waldstreicher,Karen Young,"[1077060, 1080813, 1083148, 1085146]","[4, 1, 4, 1]",4
16042,Eric LuedtkeJason Buckel,Eric Luedtke,Jason Buckel,"[1080709, 1080725, 1083027, 1085099]","[1, 2, 4, 1]",4
12141,Katherine KlausmeierShirley Nathan-Pulliam,Katherine Klausmeier,Shirley Nathan-Pulliam,"[1066859, 1075275, 1102197, 1105449]","[4, 4, 2, 4]",4
12154,Nancy KingShirley Nathan-Pulliam,Nancy King,Shirley Nathan-Pulliam,"[1069802, 1071283, 1073051, 1102197]","[4, 4, 1, 2]",4
10929,Brooke LiermanTawanna Gaines,Brooke Lierman,Tawanna Gaines,"[1072362, 1083136, 1085245]","[1, 1, 2]",3
23300,Angela AngelTerri Hill,Angela Angel,Terri Hill,"[1059478, 1073042, 1084864]","[4, 2, 2]",3
16998,James DeGrangeThe President,James DeGrange,The President,"[1068435, 1068415, 1088102]","[4, 2, 1]",3
13978,Adelaide EckardtEdward Reilly,Adelaide Eckardt,Edward Reilly,"[1069915, 1081602, 1081693]","[4, 2, 4]",3
4675,Joseline Pena-MelnykStephen Lafferty,Joseline Pena-Melnyk,Stephen Lafferty,"[1075308, 1084006, 1084022]","[4, 1, 2]",3
15396,Pat YoungRichard Impallaria,Pat Young,Richard Impallaria,"[1083036, 1083062, 1084000]","[1, 1, 1]",3
23301,Mary WashingtonTerri Hill,Mary Washington,Terri Hill,"[1075324, 1084001, 1083994]","[2, 1, 1]",3
10259,Ariana KellyGeraldine Valentino-Smith,Ariana Kelly,Geraldine Valentino-Smith,"[1072337, 1077083, 1085207]","[1, 2, 4]",3
15400,Pat YoungTony Knotts,Pat Young,Tony Knotts,"[1084075, 1083996, 1084000]","[4, 4, 1]",3
10918,Brooke LiermanCarolyn Howard,Brooke Lierman,Carolyn Howard,"[1069833, 1072329, 1072323]","[4, 1, 4]",3
15410,David MoonPat Young,David Moon,Pat Young,"[1080841, 1083074, 1084928]","[5, 1, 1]",3
16141,Jason BuckelMary Carozza,Jason Buckel,Mary Carozza,"[1084058, 1084035, 1084953]","[1, 1, 1]",3
25624,Glen GlassShane Robinson,Glen Glass,Shane Robinson,"[1084869, 1085301, 1085254]","[1, 1, 1]",3
13255,Douglas PetersNathaniel McFadden,Douglas Peters,Nathaniel McFadden,"[1075336, 1092943, 1095747]","[1, 4, 4]",3
15446,Ana GutierrezPat Young,Ana Gutierrez,Pat Young,"[1073936, 1084053, 1085242]","[1, 4, 1]",3
24208,Benjamin BrooksDavid Moon,Benjamin Brooks,David Moon,"[1066906, 1080841, 1084927]","[1, 5, 1]",3
23308,Shane PendergrassTerri Hill,Shane Pendergrass,Terri Hill,"[1059478, 1078887, 1084864]","[4, 1, 2]",3
20982,James TarlauKirill Reznik,James Tarlau,Kirill Reznik,"[1066902, 1072385, 1075332]","[4, 4, 1]",3
13246,Douglas PetersVictor Ramirez,Douglas Peters,Victor Ramirez,"[1078901, 1081815, 1095747]","[4, 1, 4]",3
4658,Curtis AndersonJoseline Pena-Melnyk,Curtis Anderson,Joseline Pena-Melnyk,"[1075308, 1084006, 1084022]","[4, 1, 2]",3
15434,John ClusterPat Young,John Cluster,Pat Young,"[1083062, 1083996, 1084000]","[1, 4, 1]",3
3918,Edward KasemeyerStephen Waugh,Edward Kasemeyer,Stephen Waugh,"[1061034, 1069827, 1081661]","[4, 4, 2]",3
10252,Andrew PlattAriana Kelly,Andrew Platt,Ariana Kelly,"[1085230, 1084977, 1085207]","[4, 1, 4]",3
15428,Pat YoungTheodore Sophocleus,Pat Young,Theodore Sophocleus,"[1083062, 1084000, 1084053]","[1, 1, 4]",3
6483,Kriselda ValderramaMaggie McIntosh,Kriselda Valderrama,Maggie McIntosh,"[1084980, 1090815, 1066849]","[4, 2, 1]",3
16980,Nathaniel McFaddenThe President,Nathaniel McFadden,The President,"[1068435, 1068415, 1088102]","[4, 2, 1]",3
21919,J.B. JenningsSusan Lee,J.B. Jennings,Susan Lee,"[1061072, 1075265, 1077065]","[4, 4, 4]",3
16122,Jason BuckelMark Fisher,Jason Buckel,Mark Fisher,"[1069901, 1069906, 1077080]","[1, 1, 1]",3
11958,C.T. WilsonPatrick McDonough,C.T. Wilson,Patrick McDonough,"[1083121, 1083049, 1085200]","[4, 1, 4]",3
8949,Adrienne JonesErek Barron,Adrienne Jones,Erek Barron,"[1065086, 1068464, 1089423]","[4, 1, 4]",3
19023,James BrochinWayne Norman,James Brochin,Wayne Norman,"[1058995, 1066838, 1068447]","[2, 4, 4]",3
14952,Maggie McIntoshRobbyn Lewis,Maggie McIntosh,Robbyn Lewis,"[1061065, 1075271, 1090815]","[1, 4, 2]",3
10951,Carl AndertonPamela Beidle,Carl Anderton,Pamela Beidle,"[1071351, 1077148, 1085194]","[2, 4, 1]",3
11864,C.T. WilsonFrank Turner,C.T. Wilson,Frank Turner,"[1083150, 1083121, 1085252]","[2, 4, 2]",3
21911,Johnny SallingSusan Lee,Johnny Salling,Susan Lee,"[1066901, 1075288, 1075265]","[1, 4, 4]",3
6471,Jay WalkerKriselda Valderrama,Jay Walker,Kriselda Valderrama,"[1069894, 1084980, 1096220]","[4, 4, 1]",3
8017,Susan AumannWilliam Frick,Susan Aumann,William Frick,"[1066904, 1085215, 1085260]","[4, 4, 4]",3
4706,Joseline Pena-MelnykThe Speaker,Joseline Pena-Melnyk,The Speaker,"[1069930, 1073957, 1085039]","[4, 4, 4]",3
17438,David Fraser-hidalgoKaren Young,David Fraser-hidalgo,Karen Young,"[1072333, 1073110, 1073929]","[2, 1, 4]",3
12085,Deb ReyJohnny Mautz,Deb Rey,Johnny Mautz,"[1073035, 1081736, 1083968]","[4, 1, 1]",3
4708,Joseline Pena-MelnykJoseph Vallario,Joseline Pena-Melnyk,Joseph Vallario,"[1075308, 1084006, 1084022]","[4, 1, 2]",3
10272,Ariana KellyStephen Lafferty,Ariana Kelly,Stephen Lafferty,"[1065090, 1072337, 1085207]","[4, 1, 4]",3
13364,Jeff WaldstreicherSheila Hixson,Jeff Waldstreicher,Sheila Hixson,"[1068433, 1078907, 1085051]","[1, 4, 2]",3
22529,Benjamin BrooksPamela Queen,Benjamin Brooks,Pamela Queen,"[1078959, 1078973, 1081717]","[1, 2, 1]",3
13368,Pamela QueenSheila Hixson,Pamela Queen,Sheila Hixson,"[1066868, 1077102, 1085051]","[4, 4, 2]",3
7941,Marc KormanRobbyn Lewis,Marc Korman,Robbyn Lewis,"[1062548, 1069843, 1072355]","[4, 4, 1]",3
18271,John AstleStephen Hershey,John Astle,Stephen Hershey,"[1071328, 1073116, 1078962]","[1, 1, 4]",3
12243,Roger MannoShirley Nathan-Pulliam,Roger Manno,Shirley Nathan-Pulliam,"[1073051, 1081738, 1102197]","[1, 1, 2]",3
17434,David Fraser-hidalgoJames Gilchrist,David Fraser-hidalgo,James Gilchrist,"[1075339, 1084021, 1084985]","[4, 1, 4]",3
13959,Adelaide EckardtJames Rosapepe,Adelaide Eckardt,James Rosapepe,"[1069915, 1081602, 1081693]","[4, 2, 4]",3
8000,Steven ArentzSusan Aumann,Steven Arentz,Susan Aumann,"[1085030, 1085195, 1085066]","[4, 1, 4]",3
23790,Kevin HornbergerMark Fisher,Kevin Hornberger,Mark Fisher,"[1069901, 1069906, 1077080]","[1, 1, 1]",3
13390,Benjamin BrooksSheila Hixson,Benjamin Brooks,Sheila Hixson,"[1066871, 1078907, 1085051]","[4, 4, 2]",3
10282,Ariana KellyDana Stein,Ariana Kelly,Dana Stein,"[1085230, 1085207, 1084982]","[4, 4, 1]",3
10822,Brooke LiermanElizabeth Proctor,Brooke Lierman,Elizabeth Proctor,"[1069888, 1069833, 1072362]","[4, 4, 1]",3
25732,Barrie CilibertiGlen Glass,Barrie Ciliberti,Glen Glass,"[1075239, 1085000, 1085257]","[1, 1, 1]",3
10288,Ariana KellyCarol Krimm,Ariana Kelly,Carol Krimm,"[1072337, 1077083, 1085207]","[1, 2, 4]",3
22423,Marice MoralesMatt Morgan,Marice Morales,Matt Morgan,"[1081634, 1085090, 1089458]","[4, 4, 4]",3
6458,Brooke LiermanKriselda Valderrama,Brooke Lierman,Kriselda Valderrama,"[1083972, 1084943, 1084980]","[1, 1, 4]",3
15379,Pat YoungTerri Hill,Pat Young,Terri Hill,"[1073042, 1084075, 1084083]","[2, 4, 1]",3
10880,Brooke LiermanNick Mosby,Brooke Lierman,Nick Mosby,"[1072362, 1073069, 1083978]","[1, 1, 2]",3
13305,Angela GibsonSheila Hixson,Angela Gibson,Sheila Hixson,"[1066868, 1078907, 1085051]","[4, 4, 2]",3
8994,Adrienne JonesSheree Sample-Hughes,Adrienne Jones,Sheree Sample-Hughes,"[1068464, 1069878, 1089423]","[1, 4, 4]",3
10265,Ariana KellyCheryl Glenn,Ariana Kelly,Cheryl Glenn,"[1072363, 1085230, 1085207]","[1, 4, 4]",3
13307,Pat YoungSheila Hixson,Pat Young,Sheila Hixson,"[1066868, 1078907, 1085051]","[4, 4, 2]",3
10266,Ariana KellySusan Krebs,Ariana Kelly,Susan Krebs,"[1083045, 1083112, 1085207]","[4, 4, 4]",3
22525,Antonio HayesPamela Queen,Antonio Hayes,Pamela Queen,"[1077102, 1077146, 1078944]","[4, 1, 1]",3
288,Jeff GhristJohnny Mautz,Jeff Ghrist,Johnny Mautz,"[1066870, 1072379, 1085079]","[1, 4, 1]",3
25659,Charles MuseNathaniel Oaks,Charles Muse,Nathaniel Oaks,"[1080822, 1080881, 1081667]","[1, 1, 1]",3
4691,Carol KrimmJoseline Pena-Melnyk,Carol Krimm,Joseline Pena-Melnyk,"[1066860, 1084006, 1084050]","[4, 1, 1]",3
9002,Adrienne JonesMarvin Holmes,Adrienne Jones,Marvin Holmes,"[1065086, 1068464, 1069832]","[4, 1, 4]",3
4701,Frank TurnerJoseline Pena-Melnyk,Frank Turner,Joseline Pena-Melnyk,"[1075308, 1084006, 1084022]","[4, 1, 2]",3
13969,Adelaide EckardtBob Cassilly,Adelaide Eckardt,Bob Cassilly,"[1069915, 1069922, 1104408]","[4, 1, 4]",3
13968,Adelaide EckardtWayne Norman,Adelaide Eckardt,Wayne Norman,"[1065033, 1068447, 1069915]","[4, 4, 4]",3
6461,Kriselda ValderramaWilliam Frick,Kriselda Valderrama,William Frick,"[1066904, 1085056, 1084980]","[4, 1, 4]",3
25670,April RoseBarrie Ciliberti,April Rose,Barrie Ciliberti,"[1084907, 1084913, 1085163]","[1, 1, 1]",3
9011,Adrienne JonesKaren Young,Adrienne Jones,Karen Young,"[1069878, 1072333, 1089423]","[4, 2, 4]",3
4697,Herbert McMillanJoseline Pena-Melnyk,Herbert McMillan,Joseline Pena-Melnyk,"[1073142, 1083087, 1084064]","[1, 1, 4]",3
15380,Chris WestPat Young,Chris West,Pat Young,"[1078878, 1083062, 1084075]","[1, 1, 4]",3
19142,Bob CassillyJohnny Salling,Bob Cassilly,Johnny Salling,"[1069922, 1069916, 1104408]","[1, 1, 4]",3
13333,Dana SteinSheila Hixson,Dana Stein,Sheila Hixson,"[1078907, 1085051, 1084982]","[4, 2, 1]",3
24776,Bob LongKathy Szeliga,Bob Long,Kathy Szeliga,"[1085167, 1084894, 1085291]","[1, 1, 1]",3
4642,Alonzo WashingtonJoseline Pena-Melnyk,Alonzo Washington,Joseline Pena-Melnyk,"[1075308, 1084006, 1084022]","[4, 1, 2]",3
10244,Ariana KellyMary Ann Lisanti,Ariana Kelly,Mary Ann Lisanti,"[1073070, 1085230, 1085207]","[1, 4, 4]",3
5669,Anne KaiserJay Walker,Anne Kaiser,Jay Walker,"[1069894, 1084097, 1085280]","[4, 4, 1]",3
14906,Kathleen DumaisMaggie McIntosh,Kathleen Dumais,Maggie McIntosh,"[1036197, 1077077, 1090815]","[4, 4, 2]",3
6608,Kriselda ValderramaMark Chang,Kriselda Valderrama,Mark Chang,"[1084969, 1084943, 1084980]","[1, 1, 4]",3
25511,Christian MieleMary Carozza,Christian Miele,Mary Carozza,"[1073964, 1085083, 1095164]","[1, 1, 2]",3
23720,Ned CareySid Saab,Ned Carey,Sid Saab,"[1066900, 1085111, 1085122]","[1, 4, 1]",3
24760,Barrie CilibertiKathy Szeliga,Barrie Ciliberti,Kathy Szeliga,"[1077169, 1084894, 1084913]","[1, 1, 1]",3
11830,C.T. WilsonEric Luedtke,C.T. Wilson,Eric Luedtke,"[1083150, 1083121, 1085252]","[2, 4, 2]",3
13075,Jay WalkerTony Knotts,Jay Walker,Tony Knotts,"[1069894, 1083025, 1094136]","[4, 1, 1]",3
8707,Eric EbersoleShelly Hettleman,Eric Ebersole,Shelly Hettleman,"[1073080, 1075353, 1077033]","[4, 1, 1]",3
18534,Brian FeldmanStephen Waugh,Brian Feldman,Stephen Waugh,"[1062493, 1081767, 1081661]","[2, 2, 2]",3
16889,James RosapepeThe President,James Rosapepe,The President,"[1068415, 1081593, 1088102]","[2, 4, 1]",3
18533,Brian FeldmanJames Brochin,Brian Feldman,James Brochin,"[1036418, 1059473, 1071320]","[4, 1, 1]",3
14910,James TarlauMaggie McIntosh,James Tarlau,Maggie McIntosh,"[1066902, 1075252, 1090815]","[4, 4, 2]",3
9566,Carol KrimmMichael Jackson,Carol Krimm,Michael Jackson,"[1071302, 1084039, 1096225]","[4, 1, 1]",3
6587,David MoonKriselda Valderrama,David Moon,Kriselda Valderrama,"[1066906, 1080841, 1084980]","[1, 5, 4]",3
10172,Joan ConwayJohnny Salling,Joan Conway,Johnny Salling,"[1065032, 1066911, 1090853]","[4, 4, 1]",3
6577,Kriselda ValderramaTony Knotts,Kriselda Valderrama,Tony Knotts,"[1083025, 1094136, 1096220]","[1, 1, 1]",3
8719,Shane RobinsonShelly Hettleman,Shane Robinson,Shelly Hettleman,"[1073080, 1075353, 1080867]","[4, 1, 1]",3
8724,Carlos SanchezShelly Hettleman,Carlos Sanchez,Shelly Hettleman,"[1073080, 1075353, 1085086]","[4, 1, 2]",3
23329,Bob FlanaganTerri Hill,Bob Flanagan,Terri Hill,"[1072376, 1085019, 1084864]","[1, 1, 2]",3
8047,Jason BuckelSusan Aumann,Jason Buckel,Susan Aumann,"[1084058, 1084035, 1084953]","[1, 1, 1]",3
3905,Edward KasemeyerRoger Manno,Edward Kasemeyer,Roger Manno,"[1061034, 1081702, 1095735]","[4, 4, 4]",3
21051,Kirill ReznikMary Washington,Kirill Reznik,Mary Washington,"[1072365, 1072385, 1085244]","[1, 4, 1]",3
11119,Alonzo WashingtonVanessa Atterbeary,Alonzo Washington,Vanessa Atterbeary,"[1066857, 1078970, 1085161]","[4, 4, 4]",3
10180,J.B. JenningsJoan Conway,J.B. Jennings,Joan Conway,"[1066911, 1075322, 1090853]","[4, 4, 1]",3
22407,Patrick McDonoughTeresa Reilly,Patrick McDonough,Teresa Reilly,"[1073963, 1073961, 1085240]","[4, 1, 1]",3
13032,James TarlauJay Walker,James Tarlau,Jay Walker,"[1066915, 1066902, 1069894]","[4, 4, 4]",3
18564,Brian FeldmanJames DeGrange,Brian Feldman,James DeGrange,"[1036418, 1071320, 1073059]","[4, 1, 1]",3
14891,Karen YoungMaggie McIntosh,Karen Young,Maggie McIntosh,"[1072333, 1090815, 1066849]","[2, 2, 1]",3
11145,Cheryl GlennVanessa Atterbeary,Cheryl Glenn,Vanessa Atterbeary,"[1066857, 1078970, 1085161]","[4, 4, 4]",3
13037,Charles SydnorJay Walker,Charles Sydnor,Jay Walker,"[1069894, 1075235, 1083056]","[4, 4, 1]",3
11827,C.T. WilsonJason Buckel,C.T. Wilson,Jason Buckel,"[1083150, 1083121, 1085252]","[2, 4, 2]",3
8675,Jazz LewisShelly Hettleman,Jazz Lewis,Shelly Hettleman,"[1073080, 1075353, 1085218]","[4, 1, 1]",3
22004,Johnny SallingRonald Young,Johnny Salling,Ronald Young,"[1062500, 1066876, 1072350]","[2, 1, 4]",3
14894,Carol KrimmMaggie McIntosh,Carol Krimm,Maggie McIntosh,"[1075252, 1090815, 1066849]","[4, 2, 1]",3
8679,Shelly HettlemanTerri Hill,Shelly Hettleman,Terri Hill,"[1073080, 1084083, 1085232]","[4, 1, 4]",3
20185,Edward ReillyJ.B. Jennings,Edward Reilly,J.B. Jennings,"[1036355, 1058090, 1098940]","[4, 4, 1]",3
23340,Antonio HayesChris West,Antonio Hayes,Chris West,"[1073078, 1083993, 1084970]","[1, 4, 4]",3
14896,Charles BarkleyMaggie McIntosh,Charles Barkley,Maggie McIntosh,"[1075252, 1075271, 1090815]","[4, 4, 2]",3
11130,Kumar BarveVanessa Atterbeary,Kumar Barve,Vanessa Atterbeary,"[1078970, 1084066, 1085161]","[4, 2, 4]",3
5662,Anne KaiserC.T. Wilson,Anne Kaiser,C.T. Wilson,"[1083150, 1083121, 1085252]","[2, 4, 2]",3
16874,Glen GlassSusan Krebs,Glen Glass,Susan Krebs,"[1073025, 1077014, 1083112]","[1, 1, 4]",3
22916,Michael MaloneWendell Beitzel,Michael Malone,Wendell Beitzel,"[1077036, 1080727, 1083061]","[1, 1, 1]",3
7864,Bonnie CullisonMarc Korman,Bonnie Cullison,Marc Korman,"[1069918, 1069843, 1080730]","[4, 4, 1]",3
4534,Benjamin BrooksTalmadge Branch,Benjamin Brooks,Talmadge Branch,"[1073931, 1081717, 1084069]","[4, 1, 4]",3
5667,Alonzo WashingtonAnne Kaiser,Alonzo Washington,Anne Kaiser,"[1085070, 1085143, 1085280]","[4, 4, 1]",3
6623,Ana GutierrezKriselda Valderrama,Ana Gutierrez,Kriselda Valderrama,"[1084082, 1085242, 1084980]","[1, 1, 4]",3
20297,Bilal AliHerbert McMillan,Bilal Ali,Herbert McMillan,"[1083016, 1083035, 1083067]","[4, 1, 1]",3
17491,David Fraser-hidalgoWilliam Folden,David Fraser-hidalgo,William Folden,"[1075339, 1084011, 1085071]","[4, 1, 1]",3
11851,C.T. WilsonKaren Young,C.T. Wilson,Karen Young,"[1083121, 1083049, 1085200]","[4, 1, 4]",3
11026,Carl AndertonMatt Morgan,Carl Anderton,Matt Morgan,"[1085107, 1085251, 1085029]","[1, 4, 1]",3
18423,Nathaniel OaksWilliam Smith,Nathaniel Oaks,William Smith,"[1077152, 1081762, 1081819]","[4, 1, 4]",3
6515,Karen YoungKriselda Valderrama,Karen Young,Kriselda Valderrama,"[1072333, 1084943, 1084980]","[2, 1, 4]",3
20323,Carolyn HowardHerbert McMillan,Carolyn Howard,Herbert McMillan,"[1083016, 1083035, 1083067]","[4, 1, 1]",3
13157,Douglas PetersThe President,Douglas Peters,The President,"[1068435, 1068415, 1088102]","[4, 2, 1]",3
13160,Delores KelleyDouglas Peters,Delores Kelley,Douglas Peters,"[1073089, 1081627, 1095747]","[4, 4, 4]",3
13163,Douglas PetersWilliam Ferguson,Douglas Peters,William Ferguson,"[1078946, 1081815, 1095747]","[4, 1, 4]",3
13174,Bob CassillyDouglas Peters,Bob Cassilly,Douglas Peters,"[1081627, 1095747, 1104408]","[4, 4, 4]",3
18421,Nathaniel McFaddenWilliam Smith,Nathaniel McFadden,William Smith,"[1081819, 1081677, 1081716]","[4, 1, 2]",3
22411,Glen GlassTeresa Reilly,Glen Glass,Teresa Reilly,"[1073963, 1073961, 1085240]","[4, 1, 1]",3
16955,Roger MannoThe President,Roger Manno,The President,"[1068435, 1068415, 1088102]","[4, 2, 1]",3
7921,Marc KormanTerri Hill,Marc Korman,Terri Hill,"[1062548, 1069843, 1083058]","[4, 4, 4]",3
4636,Dereck DavisJoseline Pena-Melnyk,Dereck Davis,Joseline Pena-Melnyk,"[1084006, 1084022, 1084064]","[1, 2, 4]",3
4637,C.T. WilsonJoseline Pena-Melnyk,C.T. Wilson,Joseline Pena-Melnyk,"[1084006, 1084022, 1085200]","[1, 2, 4]",3
20994,Kirill ReznikMarice Morales,Kirill Reznik,Marice Morales,"[1075262, 1083022, 1083019]","[1, 1, 1]",3
13208,Douglas PetersMichael Hough,Douglas Peters,Michael Hough,"[1077085, 1081588, 1095747]","[4, 2, 4]",3
25735,Barbara FrushBarrie Ciliberti,Barbara Frush,Barrie Ciliberti,"[1075239, 1084907, 1085163]","[1, 1, 1]",3
22580,Keith HaynesPamela Queen,Keith Haynes,Pamela Queen,"[1072395, 1075261, 1084902]","[2, 1, 1]",3
13215,Andrew SerafiniDouglas Peters,Andrew Serafini,Douglas Peters,"[1080837, 1081627, 1095747]","[1, 4, 4]",3
18374,Michael HoughWilliam Smith,Michael Hough,William Smith,"[1077152, 1077085, 1081618]","[4, 4, 2]",3
24772,John ClusterKathy Szeliga,John Cluster,Kathy Szeliga,"[1065040, 1085167, 1084894]","[1, 1, 1]",3
17447,David Fraser-hidalgoHerbert McMillan,David Fraser-hidalgo,Herbert McMillan,"[1075339, 1075236, 1085071]","[4, 4, 1]",3
13137,Adelaide EckardtDouglas Peters,Adelaide Eckardt,Douglas Peters,"[1069915, 1081627, 1095747]","[4, 4, 4]",3
18464,Brian FeldmanWayne Norman,Brian Feldman,Wayne Norman,"[1036418, 1065063, 1066865]","[4, 1, 2]",3
21032,Eric EbersoleKirill Reznik,Eric Ebersole,Kirill Reznik,"[1072365, 1072385, 1072340]","[1, 4, 1]",3
24768,David VogtKathy Szeliga,David Vogt,Kathy Szeliga,"[1073945, 1075244, 1084894]","[1, 1, 1]",3
5703,Anne KaiserJheanelle Wilkins,Anne Kaiser,Jheanelle Wilkins,"[1072398, 1073071, 1081764]","[4, 4, 1]",3
23328,Christian MieleTerri Hill,Christian Miele,Terri Hill,"[1059478, 1084864, 1085141]","[4, 2, 1]",3
20306,Darryl BarnesHerbert McMillan,Darryl Barnes,Herbert McMillan,"[1083016, 1083035, 1083067]","[4, 1, 1]",3
8737,Jay JalisiShelly Hettleman,Jay Jalisi,Shelly Hettleman,"[1073080, 1075353, 1084048]","[4, 1, 1]",3
22949,Benjamin BrooksJazz Lewis,Benjamin Brooks,Jazz Lewis,"[1078896, 1078973, 1081717]","[1, 2, 1]",3
10204,James DeGrangeJoan Conway,James DeGrange,Joan Conway,"[1066911, 1090865, 1090853]","[4, 4, 1]",3
17469,David Fraser-hidalgoMarice Morales,David Fraser-hidalgo,Marice Morales,"[1073045, 1083022, 1083019]","[2, 1, 1]",3
23325,Ric MetzgarTerri Hill,Ric Metzgar,Terri Hill,"[1059478, 1073042, 1084864]","[4, 2, 2]",3
19012,John AstleWayne Norman,John Astle,Wayne Norman,"[1061044, 1071395, 1080716]","[4, 1, 2]",3
26078,Christian MieleJohn Cluster,Christian Miele,John Cluster,"[1065040, 1069919, 1073964]","[1, 1, 1]",3
5718,Anne KaiserCharles Barkley,Anne Kaiser,Charles Barkley,"[1073131, 1073071, 1081701]","[4, 4, 1]",3
6530,Kathleen DumaisKriselda Valderrama,Kathleen Dumais,Kriselda Valderrama,"[1036197, 1077077, 1084980]","[4, 4, 4]",3
17454,David Fraser-hidalgoKirill Reznik,David Fraser-hidalgo,Kirill Reznik,"[1083088, 1083970, 1085244]","[1, 1, 1]",3
14941,Antonio HayesMaggie McIntosh,Antonio Hayes,Maggie McIntosh,"[1075271, 1085193, 1090815]","[4, 1, 2]",3
4604,Anne KaiserJoseline Pena-Melnyk,Anne Kaiser,Joseline Pena-Melnyk,"[1075308, 1084006, 1084022]","[4, 1, 2]",3
21943,James DeGrangeSusan Lee,James DeGrange,Susan Lee,"[1071385, 1071377, 1075288]","[1, 1, 4]",3
6521,Elizabeth ProctorKriselda Valderrama,Elizabeth Proctor,Kriselda Valderrama,"[1083997, 1084943, 1084980]","[4, 1, 4]",3
6520,Charles BarkleyKriselda Valderrama,Charles Barkley,Kriselda Valderrama,"[1084943, 1084914, 1084980]","[1, 4, 4]",3
20321,Bob LongHerbert McMillan,Bob Long,Herbert McMillan,"[1083016, 1083035, 1083067]","[4, 1, 1]",3
24248,Benjamin BrooksRic Metzgar,Benjamin Brooks,Ric Metzgar,"[1078973, 1085081, 1085165]","[2, 1, 1]",3
6516,Benjamin KramerKriselda Valderrama,Benjamin Kramer,Kriselda Valderrama,"[1077017, 1084980, 1085173]","[1, 4, 4]",3
10816,Brooke LiermanKaren Young,Brooke Lierman,Karen Young,"[1072333, 1084084, 1083972]","[2, 4, 1]",3
15335,Dana SteinPat Young,Dana Stein,Pat Young,"[1081791, 1081687, 1084982]","[1, 1, 1]",3
10291,Ariana KellyElizabeth Proctor,Ariana Kelly,Elizabeth Proctor,"[1072337, 1085230, 1085207]","[1, 4, 4]",3
11920,C.T. WilsonEric Ebersole,C.T. Wilson,Eric Ebersole,"[1083150, 1084863, 1085252]","[2, 2, 2]",3
